书名,作者,翻译者,出版社,出版时间,价格,评分,评价人数,豆瓣点评
杀死一只知更鸟,[美] 哈珀·李 , 高红梅 , 译林出版社 , 2012-9 , 32.00元,9.2,67417,有一种东西不能遵循从众原则，那就是——人的良心
月亮和六便士,[英] 毛姆 , 傅惟慈 , 上海译文出版社 , 2006-8 , 15.00元,9.0,119547,有多少人会经历顿悟，就有更少的人甘愿自我放逐
肖申克的救赎,[美] 斯蒂芬·金 , 施寄青 , 人民文学出版社 , 2006-7 , 29.90元,9.1,80200,豆瓣电影Top1原著
基督山伯爵,大仲马 , 周克希 , 上海译文出版社 , 1991-12-1 , 43.90元,9.0,95423,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
中国历代政治得失,钱穆 ,无翻译者, 生活·读书·新知三联书店 , 2001 , 12.00元,9.2,39891,一部简明的“中国政治制度史”
追风筝的人,[美] 卡勒德·胡赛尼 , 李继宏 , 上海人民出版社 , 2006-5 , 29.00元,8.9,621537,为你，千千万万遍
东方快车谋杀案,[英] 阿加莎·克里斯蒂 , 陈尧光 , 人民文学出版社 , 2006-5 , 18.00元,9.0,90404,谋杀诡计惊人，波洛的抉择耐人寻味
万历十五年,[美] 黄仁宇 ,无翻译者, 生活·读书·新知三联书店 , 1997-5 , 18.00元,8.9,135525,见微知著，历史观的颠覆
嫌疑人X的献身,[日] 东野圭吾 , 刘子倩 , 南海出版公司 , 2008-9 , 28.00,8.9,391860,数学好是一种极致的浪漫
夹边沟记事,杨显惠 ,无翻译者, 花城出版社 , 2008-09 , 34.00元,9.2,25095,一段尘封四十年的历史
江城,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2012-1 , 36.00元,9.0,35049,外国人眼中的涪陵
寻路中国,[美] 彼得·海斯勒 , 李雪顺 , 上海译文出版社 , 2011-1 , 33.00元,9.0,39849,《纽约客》驻北京记者驾车漫游中国大陆的经历
刀锋,[英]毛姆 , 周煦良 , 上海译文出版社 , 2007-3 , 18.00元,9.0,51549,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
呐喊,鲁迅 ,无翻译者, 人民文学出版社 , 1973年3月 , 0.36元,8.9,84013,新文学的第一声呐喊
射雕英雄传（全四册）,金庸 ,无翻译者, 生活·读书·新知三联书店 , 1999-04 , 47.00元,9.0,60967,侠之大者，为国为民
